power,war_name,start_year,end_year,duration,outcome,primary_enemy,enemy_modern_equiv,enemy_type,posture,home_away,self_capital,enemy_capital,distance_km
France,French Invasion of Normandy,1202,1204,2,Won,Kingdom of England,United Kingdom,European,Offensive,Away,Paris,London,343
France,Albigensian Crusade,1209,1229,20,Won,County of Toulouse,France,European,Offensive,Away,Paris,Toulouse,589
France,Anglo-French War of 1213,1213,1214,1,Won,Kingdom of England,United Kingdom,European,Defensive,Home,Paris,London,343
France,First Barons' War,1216,1217,1,Lost,Rebel English barons,United Kingdom,European,Offensive,Away,Paris,London,343
France,Fifth Crusade,1217,1221,4,Lost,Ayyubid Sultanate,Egypt,Colonial / Eastern,Offensive,Away,Paris,Cairo,3210
France,Seventh Crusade,1248,1254,6,Lost,Ayyubid Sultanate,Egypt,Colonial / Eastern,Offensive,Away,Paris,Cairo,3210
France,Eighth Crusade,1270,1270,1,Lost,Hafsid Kingdom,Tunisia,Colonial / Eastern,Offensive,Away,Paris,Tunis,1482
France,War of the Sicilian Vespers,1282,1302,20,Lost,Crown of Aragon,Spain,European,Offensive,Away,Paris,Zaragoza,840
France,Gascon War,1294,1303,9,Won,Kingdom of England,United Kingdom,European,Offensive,Away,Paris,London,343
France,Franco-Flemish War,1297,1305,8,Won,County of Flanders,Belgium,European,Defensive,Home,Paris,Ghent,262
France,War of Saint-Sardos,1324,1324,1,Won,Kingdom of England,United Kingdom,European,Offensive,Away,Paris,London,343
France,Hundred Years' War,1337,1453,116,Won,Kingdom of England,United Kingdom,European,Defensive,Home,Paris,London,343
France,Crusade of Nicopolis,1396,1396,1,Lost,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,Paris,Edirne,2044
France,Burgundian Wars,1474,1477,3,Won,Burgundian State,Belgium,European,Offensive,Away,Paris,Brussels,263
France,War of the Castilian Succession,1475,1479,4,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973
France,War of the Burgundian Succession,1477,1482,5,Won,Habsburg Burgundy,Belgium,European,Offensive,Away,Paris,Brussels,263
France,First Italian War,1494,1498,4,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973
France,Second Italian War,1499,1504,5,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973
France,War of the League of Cambrai,1508,1516,8,Won,Venice,Italy,European,Offensive,Away,Paris,Venice,844
