power,war_name,start_year,end_year,duration,outcome,primary_enemy,enemy_modern_equiv,enemy_type,posture,home_away,self_capital,enemy_capital,distance_km,self_gdp_cap,self_pop_thousands,opp_gdp_cap,opp_pop_thousands,self_urban_pct,opp_urban_pct,self_builtup_ha,self_grazing_ha,self_cropland_ha,opp_builtup_ha,opp_grazing_ha,opp_cropland_ha,self_urban_pop,self_rural_pop,opp_urban_pop,opp_rural_pop,gdp_cap_ratio,pop_ratio,urban_pct_ratio,builtup_ratio,grazing_ratio,cropland_ratio,urban_pop_ratio,self_total_gdp,opp_total_gdp,total_gdp_ratio,log_gdp_cap_ratio,log_total_gdp_ratio,log_pop_ratio,log_urban_pct_ratio,log_builtup_ratio,log_grazing_ratio,log_cropland_ratio,log_urban_pop_ratio,log_distance,win,is_offensive,is_home,is_colonial,century
France,French Invasion of Normandy,1202,1204,2,Won,Kingdom of England,United Kingdom,European,Offensive,Away,Paris,London,343,1342.5740690009698,9934.0,1286.468253968254,2784.568,5.69589674,2.200000294,44914.8755,26522566.08,12275921.02,6616.367540000001,3332786.53,8831215.0,596161.4588,9874092.98,100518.0178,4468482.76,1.0436122810334816,3.5675192704936634,2.5890436267368973,6.788449285572789,7.9580752746261245,1.3900602601114342,5.930891514257457,13337130.801455634,3582258.333015873,3.723106923510794,0.04268804216202011,1.3145585141963594,1.2718704720343392,0.9512885514334904,1.9152225333921244,2.0741871709479534,0.3293470988010578,1.7801745413821792,5.8377304471659395,1.0,1,0,0,13
France,Albigensian Crusade,1209,1229,20,Won,County of Toulouse,France,European,Offensive,Away,Paris,Toulouse,589,1344.8272067886523,10053.0,1344.8272067886523,10053.0,5.68189933,5.68189933,46385.06975,26752628.36,12688018.09,46385.06975,26752628.36,12688018.09,615675.5646,10235754.91,615675.5646,10235754.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13519547.909846323,13519547.909846323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3784261836515865,1.0,1,0,0,13
France,Anglo-French War of 1213,1213,1214,1,Won,Kingdom of England,United Kingdom,European,Defensive,Home,Paris,London,343,1346.1147140958997,10121.0,1293.845238095238,2827.292,5.67390081,2.200000261,47225.18075,26884092.52,12923502.13,6864.684510000001,3454509.945,8920925.5,626826.4822,10442418.87,104861.7407,4661580.94,1.0403985534449323,3.57975051745628,2.579045516758691,6.879439350957149,7.782317303475009,1.4486728008209464,5.977647119107951,13624027.021364601,3658078.2909047618,3.7243672600552613,0.03960386420782139,1.3148969743307442,1.2752931101229228,0.9474193757386934,1.9285371589383264,2.051854147757725,0.3706478275020413,1.7880270321943448,5.8377304471659395,1.0,0,1,0,13
France,First Barons' War,1216,1217,1,Lost,Rebel English barons,United Kingdom,European,Offensive,Away,Paris,London,343,1347.080344576335,10172.0,1295.857142857143,2838.944,5.66790192,2.200000252,47855.264,26982690.64,13100115.16,6932.407320000001,3487707.24,8945392.0,635189.6704,10597416.84,106046.3924,4714244.08,1.0395284325911525,3.583022419603909,2.576318759439851,6.903123516983419,7.73651249466684,1.464454007158099,5.989733889335023,13702501.265030479,3678865.8605714287,3.72465367978981,0.03876718012190736,1.3149738756408635,1.2762066955189562,0.9463615426052708,1.9319739927936799,2.0459510039746376,0.3814824816426861,1.7900469853199716,5.8377304471659395,0.0,1,0,0,13
France,Fifth Crusade,1217,1221,4,Lost,Ayyubid Sultanate,Egypt,Colonial / Eastern,Offensive,Away,Paris,Cairo,3210,1347.402221403147,10189.0,1060.246153846154,4566.0,5.66590229,2.658141711,48065.291750000004,27015556.68,13158986.17,2676.6069700000003,0.0,392624.7476,637977.3998,10649082.83,109623.42839999999,4009376.5889999997,1.2708390561147564,2.2314936487078407,2.1315275504512035,17.957545612309303,,33.51542726340361,5.819717638022714,13728681.233876664,4841083.938461538,2.835869282249946,0.23967735642754845,1.0423485153120928,0.8026711588845445,0.7568388825213475,2.888010394978034,,3.5120058481518623,1.7612517447627594,8.07402621612406,0.0,1,0,1,13
France,Seventh Crusade,1248,1254,6,Lost,Ayyubid Sultanate,Egypt,Colonial / Eastern,Offensive,Away,Paris,Cairo,3210,1357.3804030343126,10716.0,1064.0615384615385,4504.0,5.60391376,2.700378684,54576.152,28034403.92,14983987.48,2864.68738,0.0,413309.2744,724397.0112,12250728.52,117326.4696,4218673.616,1.2756596812970666,2.3792184724689167,2.0752325565313194,19.05134653820411,,36.2536928351105,6.174199340265497,14545688.398915693,4792533.169230769,3.0350730783257918,0.2434634419024018,1.110235502747375,0.8667720608449732,0.7300732228394595,2.9471377834948473,,3.590541247425547,1.8203792126117966,8.07402621612406,0.0,1,0,1,13
France,Eighth Crusade,1270,1270,1,Lost,Hafsid Kingdom,Tunisia,Colonial / Eastern,Offensive,Away,Paris,Tunis,1482,1364.4616932241722,11090.0,815.3188565145684,892.0,5.5599219,2.6147645,59196.7625,28757456.8,16279149.7,913.77018,1034686.838,1081848.19,785727.058,13387380.3,26147.6453,973852.378,1.6735313826263645,12.432735426008968,2.126356656593739,64.78298788432777,27.793391917101008,15.047536105782088,30.04962966971255,15131880.177856069,727264.420010995,20.80657290731657,0.5149359941832053,3.0352689419476087,2.520332947764403,0.7544100253011423,4.171043036241238,3.3247982916175682,2.7112142638907786,3.402850337102035,7.301147805856032,0.0,1,0,1,13
France,War of the Sicilian Vespers,1282,1302,20,Lost,Crown of Aragon,Spain,European,Offensive,Away,Paris,Zaragoza,840,1382.7442644599441,11294.0,1415.2784398112833,5579.2,5.5359263400000005,32.059997540000005,61717.0955,29151849.28,16985601.82,33039.7001,4161076.756,5234392.890000001,819179.8108,14007372.18,2356980.0,4783020.0,0.9770121734097232,2.024304559793519,0.17267394774728356,1.8679677876373944,7.005842715581957,3.2449994062253125,0.3475548417042147,15616713.72281061,7896121.471395112,1.977770197607079,-0.023256167027498026,0.6819700472838973,0.7052262143113954,-1.7563501578592653,0.6248510953525027,1.946744474563536,1.177115167174623,-1.0568328085753624,6.733401891837359,0.0,1,0,0,13
France,Gascon War,1294,1303,9,Won,Kingdom of England,United Kingdom,European,Offensive,Away,Paris,London,343,1082.6333577177913,11498.0,1078.0,3141.8959999999997,5.51193078,2.2000000180000003,64237.4285,29546241.76,17692053.94,8693.20038,4350836.91,9581521.0,852632.5636,14627364.059999999,136847.3366,6083485.720000001,1.0042981054896023,3.6595737096326553,2.5054230613192656,7.38938776193262,6.790932956390682,1.8464765604542328,6.23053823906135,12448118.347039165,3386963.888,3.675302943483632,0.004288895016494518,1.3016355628683256,1.297346667851831,0.9184576070312636,2.0000448846989776,1.915588333662171,0.6132792611894196,1.8294627237804508,5.8377304471659395,1.0,1,0,0,13
France,Franco-Flemish War,1297,1305,8,Won,County of Flanders,Belgium,European,Defensive,Home,Paris,Ghent,262,1375.485510152186,11549.0,2150.8445630420283,994.0,5.50593189,14.92500097,64867.511750000005,29644839.88,17868666.97,8473.773959,2349430.511,262247.82070000004,860995.7518,14782362.030000001,185250.0,1054250.0,0.6395094902658981,11.61871227364185,0.36890663532064083,7.655091115701072,12.617883244983533,68.13656991430624,4.6477503470985155,15885482.156747596,2137939.495663776,7.430276763662835,-0.44705381793903265,2.005563107519481,2.4526169254585133,-0.9972116877680473,2.0353709318083815,2.535115112853306,4.2215140721678095,1.5363833062091647,5.568344503761097,1.0,0,1,0,13
